artist,song,link,text
Shreya Ghoshal,Manwa Laage,https://open.spotify.com/track/24,"manwa laage happy new year manwa laage happy new year manwa laage happy new year sabki baratein aai re"
KK,Khuda Jaane,https://open.spotify.com/track/25,"khuda jaane ke main fida hoon khuda jaane main kaise kahan khoya hoon tu dil tu hai jaan tu phir kyun hai mere sath nahi"
Shreya Ghoshal,Radha,https://open.spotify.com/track/26,"radha radha radha radha on the dance floor radha likes to party radha likes to move that body radha"
Arijit Singh,Phir Bhi Tumko Chaahunga,https://open.spotify.com/track/27,"phir bhi tumko chaahunga phir bhi tumko chaahunga half girlfriend mujhe yakeen aa gaya hai pyar tum hi ho"
Neha Kakkar,Kala Chashma,https://open.spotify.com/track/28,"kala chashma jachda hai gore mukhde te ve tu kamal lagdi swag tera dabb jave hero jachda kala chashma"
Atif Aslam,Paniyon Sa,https://open.spotify.com/track/29,"paniyon sa behta raha main bahta hi chala gaya tere sang kaagaz ki kashti naav banke behti rahi"
Jubin Nautiyal,Tujhe Kitna Chahne Lage,https://open.spotify.com/track/30,"tujhe kitna chahne lage hum tujhe kitna chahne lage tumse door na ho paaye aise humne khudko sajaaye"
Armaan Malik,Wajah Tum Ho,https://open.spotify.com/track/31,"wajah tum ho dil mein mere tum rehte ho subah shaam tum dil ki har dhadkan mein tum phir kyun mujhse khafa ho"
Arijit Singh,Shayad,https://open.spotify.com/track/32,"shayad kabhi na keh sakun main tumko kabhi kar na sakun bayaan main shayad keh sakoon tumhe dekhe bina chain"
Darshan Raval,Kamariya,https://open.spotify.com/track/33,"kamariya lollipop lagelu kamariya tohar kare halla bol batasha khayi ho jiyara more lutela"
Shreya Ghoshal,Chikni Chameli,https://open.spotify.com/track/34,"chikni chameli dekho upar se nahi patli khatarnak husn ki khiladi full on masti mein ready dancing doll shake it baby"
Tony Kakkar,Dheeme Dheeme,https://open.spotify.com/track/35,"dheeme dheeme gaana gaayegi main dhol bajaayein saare taaliyan bajaayein saare haan main naachun aise jaise nach rahi kudiye"
Vishal Mishra,Kaise Hua,https://open.spotify.com/track/36,"kaise hua kaise hua tu itna zaroori kaise hua main teri saanson mein ghul ke pyar ho gaya kaise hua"
Sachet Tandon,Bekhayali,https://open.spotify.com/track/37,"bekhayali mein bhi tera hi khayaal aaye kyun bichadna hai zaroori ye sawaal aaye teri nazron se jo milti hai nazrein meri"
Jubin Nautiyal,Humnava Mere,https://open.spotify.com/track/38,"humnava mere beparwah yaara tu chaahe door ho magar teri yeh doori bhi khoobsurat hai tere bina ab toh"
Ankit Tiwari,Sunn Raha Hai,https://open.spotify.com/track/39,"sunn raha hai na tu ro raha hoon main sun raha hai na tu kya hua tujhe main bataun kya hai mera haal"
Shreya Ghoshal,Nagada Sang Dhol,https://open.spotify.com/track/40,"nagada sang dhol baaje dhol baaje dhol baaje re ram ko rani ke man ko dole ram ke ghar aaye rani ke man ko dole"
Arijit Singh,Hawayein,https://open.spotify.com/track/41,"hawayein hawayein yeh hawayein hawayein mujhe tujhse door le jaaye na main door jaaun tujhse kabhi"
Neha Kakkar,Aankh Marey,https://open.spotify.com/track/42,"aankh marey oh ladki aankh marey aankh marey toh dil mera ghabraaye aankh marey oh ladki aankh marey"
Badshah,Garmi,https://open.spotify.com/track/43,"garmi garmi garmi garmi the heat is on na na garmi garmi the heat is on garmi garmi the heat is on"
Guru Randhawa,Lahore,https://open.spotify.com/track/44,"lahore diya lagdiya ae dila naal masti masti karke tere naal karke lahore diya lagdiya ae"
Neha Kakkar,Coca Cola,https://open.spotify.com/track/45,"coca cola tu coca cola tu coke di bottle jatti jaaniye main goreyan nu na gaani mereyan"
Darshan Raval,Bhula Dunga,https://open.spotify.com/track/46,"bhula dunga main bhula dunga tujhe bhool jaaunga main yaad mein teri jaag kar raaton ko main so jaaunga"
Jubin Nautiyal,Tum Hi Aana,https://open.spotify.com/track/47,"tum hi aana tum hi aana dil ki dhadkano mein tum dhadkanon mein ho meet mere man ki tum hi ho tum hi aana"
Arijit Singh,Raabta,https://open.spotify.com/track/48,"raabta kehte hain yeh jo mann ko lage sohniye kallone raabta kehte hain yeh jo mann ko lage agent vinod"
Atif Aslam,Dil Diyan Gallan,https://open.spotify.com/track/49,"dil diyan gallan karange hum raat bhar mann ki sab baat baithenge hum raaton ko jaag lenge hum"
Shreya Ghoshal,Deewani Mastani,https://open.spotify.com/track/50,"deewani mastani deewani mastani deewani mastani hona tere bina hona tere bina chain na aaye hona tere bina"
